time,queue_length,busy_servers
700.0336375040658,1,2
701.1445780914046,1,1
701.1445780914046,0,2
701.1496357493888,0,1
701.2426189443516,1,1
701.2426189443516,0,2
701.2758018146379,1,2
701.6230458560339,1,1
701.6230458560339,0,2
703.7938984964397,0,1
704.4411831912805,0,0
707.034417658464,1,0
707.034417658464,0,1
707.844555391335,0,0
708.4761518495407,1,0
708.4761518495407,0,1
708.9966416254625,1,1
708.9966416254625,0,2
712.6861167755917,0,1
713.2088762133976,1,1
713.2088762133976,0,2
713.671169489934,1,2
713.7816897643153,2,2
715.8320502580555,3,2
715.9514108608665,3,1
715.9514108608665,2,2
716.0643642466612,3,2
716.2128079141086,3,1
716.2128079141086,2,2
716.9029215474903,3,2
717.7713959360857,3,1
717.7713959360857,2,2
718.172562017112,2,1
718.172562017112,1,2
718.2321601665539,1,1
718.2321601665539,0,2
718.4908895419221,0,1
719.6256742571552,1,1
719.6256742571552,0,2
720.2795994621767,0,1
721.376005728566,1,1
721.376005728566,0,2
722.0566626652331,0,1
723.0633090046159,1,1
723.0633090046159,0,2
724.3839279631032,1,2
725.1161930273295,2,2
725.1735445654871,2,1
725.1735445654871,1,2
726.5333254257822,2,2
726.899869192316,2,1
726.899869192316,1,2
726.9606737463431,1,1
726.9606737463431,0,2
727.8820798085669,0,1
728.0174784515737,1,1
728.0174784515737,0,2
728.2004614383341,1,2
728.8485729391228,1,1
728.8485729391228,0,2
729.4625180091572,0,1
730.3790898093055,1,1
730.3790898093055,0,2
730.4077152701275,1,2
730.4491360399096,1,1
730.4491360399096,0,2
730.9437675721623,1,2
731.4436125581917,1,1
731.4436125581917,0,2
732.123157844977,1,2
732.5508372734112,1,1
732.5508372734112,0,2
732.9445271413127,0,1
734.5062567839012,0,0
735.1873125324091,1,0
735.1873125324091,0,1
735.3658185166075,1,1
735.3658185166075,0,2
735.5651366011193,0,1
735.6187957350976,1,1
735.6187957350976,0,2
735.6199277382556,0,1
736.5137125476851,1,1
736.5137125476851,0,2
736.7270584003626,1,2
736.7657173145114,1,1
736.7657173145114,0,2
736.952859443791,1,2
737.7514064068455,1,1
737.7514064068455,0,2
738.0357539392412,0,1
738.06610088391,1,1
738.06610088391,0,2
738.6971582986984,0,1
740.0175857495027,0,0
740.3496446239179,1,0
740.3496446239179,0,1
741.5075357730767,1,1
741.5075357730767,0,2
741.6977207226821,0,1
743.5428222733564,1,1
743.5428222733564,0,2
743.9579685343881,1,2
744.051484982533,1,1
744.051484982533,0,2
744.4071952117512,0,1
744.5867755998669,0,0
745.133810363858,1,0
745.133810363858,0,1
745.3766334380526,1,1
745.3766334380526,0,2
746.0599591189118,0,1
746.2890846294814,1,1
746.2890846294814,0,2
746.7740929953237,0,1
747.3013787072503,1,1
747.3013787072503,0,2
748.1108179946699,1,2
748.7740233470176,1,1
748.7740233470176,0,2
748.7906555631483,1,2
748.8102572407806,2,2
749.9102068432534,2,1
749.9102068432534,1,2
749.9503312310511,2,2
751.3078967565367,2,1
751.3078967565367,1,2
