time,S,I,R
18.053704311551744,779,138,83
18.101129357109617,778,139,83
18.113440459224723,777,140,83
18.136049540454245,776,141,83
18.138246971673077,775,142,83
18.16716362067368,774,143,83
18.16779810773444,773,144,83
18.20153902439276,773,143,84
18.232391228736745,772,144,84
18.25406559655019,771,145,84
18.294450791783913,770,146,84
18.315820600137016,769,147,84
18.318437621379573,768,148,84
18.329393536208524,767,149,84
18.355976453033165,766,150,84
18.367997081335737,765,151,84
18.39213153069331,765,150,85
18.42537422450469,764,151,85
18.446722440943308,763,152,85
18.467703429555772,762,153,85
18.478181540684055,761,154,85
18.479300826686206,760,155,85
18.49031900237142,759,156,85
18.506267779299016,758,157,85
18.521196893694423,758,156,86
18.533313934746335,757,157,86
18.590780823101326,756,158,86
18.591057074792705,755,159,86
18.61610230963851,754,160,86
18.622986715744776,754,159,87
18.672441795499918,754,158,88
18.697389788216032,753,159,88
18.69867312614074,752,160,88
18.74023141010625,751,161,88
18.749090659218066,750,162,88
18.785562087236677,749,163,88
18.833376440563754,748,164,88
18.839400570713792,748,163,89
18.84533693120793,747,164,89
18.85018496151231,746,165,89
18.873654489413493,745,166,89
18.896992715067313,744,167,89
18.911103825018916,743,168,89
18.91452017338387,742,169,89
18.918600099705127,741,170,89
18.92192540385299,741,169,90
18.953918827625966,741,168,91
18.95552436424613,740,169,91
18.956996501983973,740,168,92
18.962226135017747,740,167,93
18.975717725913768,740,166,94
19.052937720630304,739,167,94
19.084653790632306,738,168,94
19.11053012077,737,169,94
19.135684615891638,737,168,95
19.14440093667211,736,169,95
19.204731671661406,735,170,95
19.207197881138963,735,169,96
19.254642769739515,734,170,96
19.260848077056476,733,171,96
19.32731754451999,732,172,96
19.34459624442609,731,173,96
19.352477096405348,731,172,97
19.360149952890428,730,173,97
19.361873878625737,730,172,98
19.363723998880037,729,173,98
19.36569625749346,729,172,99
19.37078488419506,728,173,99
19.381645428494753,728,172,100
19.388556381697946,728,171,101
19.397093318944275,728,170,102
19.4043056316175,727,171,102
19.41867262566818,726,172,102
19.43088635053213,725,173,102
19.433297528044548,724,174,102
