time,S,I,R
31.4,218.68593376167388,277.96124832090567,503.3528179174205
31.6,215.08168215514914,276.02557371282165,508.8927441320293
31.8,211.56186628103475,274.0455115963783,514.3926221225871
32.0,208.12503340936436,272.02343262474926,519.8515339658865
32.2,204.76937599278116,269.96173168267916,525.2688923245398
32.4,201.49311379475785,267.8627526369321,530.6441335683102
32.6,198.29449388959583,265.7287883362916,535.9767177741127
32.8,195.17179066242616,263.5620806115611,541.2661287260129
33.0,192.12330580920855,261.3648202755633,546.5118739152283
33.2,189.14736833673226,259.1391471231408,551.7134845401271
33.4,186.2423345626157,256.88714993115565,556.8705155062288
33.6,183.4065881153061,254.61086645848928,561.9825454262048
33.8,180.63853993408037,252.31228344604324,567.0491766198766
34.0,177.93662826904404,249.99333661673808,572.0700351142181
34.2,175.2993186811322,247.65591067551438,577.0447706433536
34.4,172.72510404210902,245.30183930933214,581.973056648559
34.6,170.21250453456767,242.93290518717092,586.8545902782615
34.8,167.76006765193074,240.55083996003006,591.6890923880394
35.0,165.36636819844966,238.1573242609281,596.4763075406224
35.2,163.03000828920534,235.75398770490366,601.2160040058911
35.4,160.74961735010774,233.34240888901465,605.9079737608778
35.6,158.5238521178959,230.92411539233868,610.5520324897656
35.8,156.3513966401382,228.50058377597296,615.148019583889
36.0,154.23096227523186,226.07323958303397,619.6957981417344
36.2,152.1612876924037,223.64345733865844,624.195254968938
36.4,150.14113887170956,221.2125605500023,628.6463005782883
36.6,148.16930910403397,218.7818217062407,633.0488691897255
36.8,146.24461899109167,216.35246227856962,637.4029187303389
37.0,144.36591644542523,213.92565272020278,641.7084308343722
37.2,142.53207669040737,211.5025124663748,645.9654108432179
37.4,140.7420022602399,209.0841099343402,650.17388780542
37.6,138.9946229999532,206.67146252337184,654.3339144766751
37.8,137.28889606540744,204.2655366147631,658.4455673198296
38.0,135.62380592329177,201.867247571827,662.5089465048814
38.2,133.99836435112397,199.47745973989478,666.5241759089813
38.4,132.41161043725208,197.09698644631968,670.4914031164284
38.6,130.8626105808523,194.72659000047236,674.4107994186755
38.8,129.35045849193014,192.36698169374364,678.2825598143263
39.0,127.8742751913211,190.01882179954492,682.1069030091342
39.2,126.43320901068924,187.68271957330688,685.8840714160041
39.4,125.02611595465154,185.35947290765327,689.6144111376952
39.6,123.65180040332368,183.04988225885273,693.2983173378237
39.8,122.30945051225406,180.75444323960406,696.936106248142
40.0,120.99827105423685,178.47363124815476,700.5280976976085
40.2,119.71748279059746,176.20790194583233,704.0746152635703
40.4,118.46632247119227,173.9576912570441,707.5759862717638
40.6,117.24404283440862,171.72341536927695,711.0325417963146
40.8,116.04991260716503,169.50547073309787,714.4446166597372
41.0,114.8832165049109,167.30423406215334,717.8125494329358
41.2,113.74325523162683,165.12006233316987,721.1366824352034
41.4,112.62934547982442,162.95329278595386,724.4173617342218
41.6,111.54081993054619,160.80424292339106,727.6549371460628
41.8,110.47702725336588,158.6732105114476,730.8497622351866
42.0,109.43733210638811,156.56047357916893,734.002194314443
42.2,108.42111513624863,154.46629041868042,737.1125944450711
42.4,107.42777297811426,152.39089958518753,740.1813274366983
42.6,106.45671825568279,150.3345198969752,743.2087618473421
42.8,105.50737958118307,148.2973504354083,746.1952699834087
43.0,104.57920155537502,146.27957054493146,749.1412278996936
43.2,103.6716447675495,144.28133983306898,752.0470153993816
43.4,102.78418579552864,142.30279817042546,754.913016034046
43.6,101.91631720566528,140.34406569068452,757.7396171036503
43.8,101.06754755284358,138.40524279061017,760.5272096565463
44.0,100.23740138047866,136.48641013004624,763.2761884894752
44.2,99.42541922051664,134.58762863191603,765.9869521475674
44.4,98.63115759343468,132.7089394822227,768.6599029243428
44.6,97.85418900824104,130.85036413004943,771.2954468617097
44.8,97.09410196247492,129.01190428755893,773.8939937499663
45.0,96.35050094220672,127.19354192999407,776.4559571277994
45.2,95.62300642203755,125.39523929567665,778.9817542822859
45.4,94.91125486510003,123.61693888600954,781.4718062488906
45.6,94.21484005044606,121.85862748781499,783.926532461739
45.8,93.53322284790018,120.12044638226212,786.3463307698378
46.0,92.8660610982919,118.40233639924163,788.7316025024666
46.2,92.21303589460989,116.7042163067021,791.0827477986882
46.4,91.5738335579428,115.02600198000363,793.4001644620537
46.6,90.94814563747914,113.36760640191771,795.6842479606032
46.8,90.33566891050744,111.72893966262768,797.935391426865
