t,S,I,R
14.24062641439264,671,127,202
14.245064451389064,670,128,202
14.24538481382432,670,127,203
14.292413129356756,670,126,204
14.295027993973019,670,125,205
14.301616150249389,669,126,205
14.305619154444944,669,125,206
14.306327536228295,669,124,207
14.32522440504197,669,123,208
14.327589163843731,668,124,208
14.374452560264135,668,123,209
14.396325949338118,667,124,209
14.398979070531865,666,125,209
14.401180866046037,666,124,210
14.403980743633163,665,125,210
14.410232704414161,665,124,211
14.426741626939013,664,125,211
14.430777411429528,664,124,212
14.431776588378838,663,125,212
14.436620007361364,662,126,212
14.45127556786226,662,125,213
14.462217303026817,661,126,213
14.498981294038472,660,127,213
14.512642656260299,659,128,213
14.514797089443485,658,129,213
14.534464459736203,658,128,214
14.534464495787466,658,127,215
14.54215748281242,657,128,215
14.552245661866824,656,129,215
14.592845978715365,655,130,215
14.616021359863435,655,129,216
14.625554850549682,654,130,216
14.638615234840888,653,131,216
14.64923239753942,652,132,216
14.656822397312572,651,133,216
14.70871874135707,650,134,216
14.715767881286698,649,135,216
14.730024594263988,649,134,217
14.734456088925086,649,133,218
14.745828153988297,648,134,218
14.77070332458613,648,133,219
14.820798787074542,648,132,220
14.835866546396337,648,131,221
14.844510896401042,648,130,222
14.852478196822883,648,129,223
14.853945940035418,647,130,223
14.86908605404081,646,131,223
14.87852365666342,646,130,224
14.888060895564205,646,129,225
14.889077908233666,646,128,226
14.903578127982387,645,129,226
14.917358345392664,645,128,227
14.952089535191144,644,129,227
14.970488278879944,644,128,228
14.994966570478823,643,129,228
15.020433676572255,642,130,228
15.054851378482045,642,129,229
15.060700169099121,642,128,230
15.066926538057984,642,127,231
15.071704320408358,641,128,231
15.087541409417003,640,129,231
15.098108548358724,639,130,231
15.12012696197562,638,131,231
15.129438646640066,637,132,231
15.136751265345303,637,131,232
15.183550742163112,636,132,232
15.184567377814016,636,131,233
15.219644083229534,635,132,233
15.222613871195637,635,131,234
15.232921096986939,634,132,234
15.233791718748632,633,133,234
15.237359810331343,632,134,234
15.250346253551367,632,133,235
15.28908422623097,631,134,235
15.29504912743281,631,133,236
15.322345008241868,630,134,236
15.348315150550205,630,133,237
15.359959889611455,630,132,238
15.365381462524148,629,133,238
15.376609198045003,629,132,239
15.391065421525822,629,131,240
15.392742325621633,629,130,241
15.414780152104129,628,131,241
15.416106956974588,627,132,241
15.443446339764847,627,131,242
15.457426269726165,626,132,242
15.464336108752022,626,131,243
15.467171911956157,626,130,244
15.480322445758485,625,131,244
15.507756613472749,624,132,244
15.518703910831947,624,131,245
15.5422320887775,624,130,246
15.542341903145775,624,129,247
15.544063943156255,624,128,248
15.553078713907958,624,127,249
15.56987134796883,623,128,249
15.582129596047142,622,129,249
15.597644081952865,622,128,250
15.619239551576024,621,129,250
15.619381485773898,620,130,250
15.647972355811355,619,131,250
15.651701726512803,618,132,250
15.66750550421635,618,131,251
15.668274180614848,618,130,252
15.683956990955684,617,131,252
15.696956994943994,616,132,252
15.704297964644642,615,133,252
15.714556884962063,614,134,252
15.715004411896022,614,133,253
15.722900375337664,614,132,254
15.745555505847943,614,131,255
15.758497955390434,613,132,255
15.766039271388285,612,133,255
15.768641022590554,612,132,256
15.773889387770229,611,133,256
15.775246720877249,610,134,256
15.778602171241502,609,135,256
15.780686817348805,608,136,256
15.78616629318516,607,137,256
15.801297117959507,606,138,256
15.807384714452011,605,139,256
15.812867987016478,605,138,257
15.817304851249721,604,139,257
15.818316845518327,604,138,258
15.824816369821178,604,137,259
15.82690029458545,603,138,259
15.831859196670447,603,137,260
15.839308356318403,603,136,261
15.845603510452825,602,137,261
15.851257702332113,602,136,262
15.857756718386744,601,137,262
15.89712120538394,601,136,263
15.90671287444595,600,137,263
15.907159695038171,599,138,263
15.911957756200326,599,137,264
15.914783206445133,598,138,264
15.943878031553151,597,139,264
15.945388987222504,596,140,264
15.956049837470637,595,141,264
15.957574547943487,594,142,264
15.960869105301777,594,141,265
15.979476401787043,593,142,265
16.00338292874242,593,141,266
16.00777260218379,592,142,266
16.020777113578358,592,141,267
16.031190025629034,592,140,268
16.037360717185962,592,139,269
16.066585352380834,591,140,269
16.06780985900796,591,139,270
16.07503703823107,590,140,270
16.07784319816129,590,139,271
16.07791660898353,589,140,271
16.11379341062692,588,141,271
16.118533349690786,588,140,272
16.127156658941946,588,139,273
16.14095676631161,588,138,274
16.159931283943063,588,137,275
16.168836669260504,587,138,275
16.189336915538828,587,137,276
16.189976540535604,586,138,276
16.207856234950096,585,139,276
16.249033949360616,584,140,276
16.253307658425957,583,141,276
16.269107834252054,582,142,276
16.27056698884182,582,141,277
