topology	left_rate	seed	deadlock	deadlock_time	mean_eaters	max_eaters
classical	0.7	4	true	13.471080866181786	0.5151515151515151	2.0
classical	0.7	5	true	9.319035491927353	0.4166666666666667	1.0
classical	0.7	6	true	8.553469289899944	0.3333333333333333	1.0
classical	0.7	7	true	42.19090999004263	0.5595238095238095	2.0
classical	0.7	8	true	13.644826169040861	0.37037037037037035	1.0
classical	0.7	9	true	7.648116134468826	0.25	1.0
classical	0.7	10	true	38.459431016731955	0.5287356321839081	2.0
classical	0.7	11	true	49.634709062204166	0.6285714285714286	2.0
classical	0.7	12	true	14.909890193185317	0.5	1.0
classical	0.7	13	true	1.5400365044796214	0.1111111111111111	1.0
classical	0.7	14	true	3.5540140372914553	0.5833333333333334	2.0
classical	0.7	15	true	5.42086341038868	0.6111111111111112	2.0
classical	0.7	16	true	19.846603061138364	0.4	1.0
classical	0.7	17	true	7.658941128594608	0.75	2.0
classical	0.7	18	true	35.79278050592209	0.5694444444444444	2.0
classical	0.7	19	true	33.48046123212089	0.5185185185185185	2.0
classical	0.7	20	true	21.906595987756333	0.5777777777777777	2.0
classical	0.7	21	true	6.349313138840317	0.42857142857142855	1.0
classical	0.7	22	true	25.528917232160893	0.7619047619047619	2.0
classical	0.7	23	true	5.768509821309603	0.5	1.0
classical	0.7	24	true	3.290335427449295	0.3333333333333333	1.0
classical	0.7	25	true	6.215278083725583	0.3333333333333333	2.0
classical	0.7	26	true	5.583458365038139	0.47619047619047616	2.0
classical	0.7	27	true	15.159426705798523	0.5476190476190477	2.0
classical	0.7	28	true	14.735705735444643	0.45454545454545453	1.0
classical	0.7	29	true	10.517150223118808	0.5	2.0
classical	0.7	30	true	10.937128212343472	0.3333333333333333	1.0
classical	0.7	31	true	1.747164616954212	0.1111111111111111	1.0
classical	0.7	32	true	21.35372887039319	0.6481481481481481	2.0
classical	0.7	33	false		0.7313432835820896	2.0
classical	0.7	34	true	9.528828410524769	0.6944444444444444	2.0
classical	0.7	35	true	34.87876796837156	0.5909090909090909	2.0
classical	0.7	36	true	49.334373805255275	0.53125	2.0
classical	0.7	37	true	36.37418880428637	0.7023809523809523	2.0
classical	0.7	38	true	27.088723986914772	0.4666666666666667	1.0
classical	0.7	39	true	31.853606078384203	0.5606060606060606	2.0
classical	0.7	40	true	1.305819729938207	0.0	0.0
arbiter	0.7	1	false		0.5064102564102564	2.0
